#timestep       power           acc-energy      avg-power       dt              acc-time       
1               245.452000      4.960094        245.452000      0.020208        0.020208       
2               242.044000      9.899244        243.739693      0.020406        0.040614       
3               242.044000      14.819030       243.174109      0.020326        0.060940       
4               242.044000      19.737122       242.891523      0.020319        0.081259       
5               242.044000      24.657635       242.721923      0.020329        0.101588       
6               242.044000      29.572822       242.608985      0.020307        0.121895       
7               228.756000      34.228693       240.626885      0.020353        0.142248       
