#timestep       power           acc-energy      avg-power       dt              acc-time       
1               16.889000       0.340955        16.889000       0.020188        0.020188       
2               16.889000       0.687686        16.889000       0.020530        0.040718       
3               16.889000       1.030955        16.889000       0.020325        0.061043       
4               28.132000       1.604961        19.705582       0.020404        0.081447       
5               28.132000       2.172299        21.377946       0.020167        0.101614       
6               28.132000       2.739158        22.495634       0.020150        0.121764       
7               28.132000       3.306046        23.295961       0.020151        0.141915       
8               28.132000       3.873216        23.897527       0.020161        0.162076       
9               41.859000       4.717930        25.886282       0.020180        0.182256       
10              41.859000       5.561808        27.477115       0.020160        0.202416       
11              41.859000       6.405853        28.780001       0.020164        0.222580       
12              41.859000       7.250274        29.866878       0.020173        0.242753       
13              41.859000       8.095993        30.788279       0.020204        0.262957       
