#timestep       power           acc-energy      avg-power       dt              acc-time       
1               134.611000      2.717796        134.611000      0.020190        0.020190       
2               139.760000      5.595315        137.210690      0.020589        0.040779       
3               139.760000      8.416510        138.054787      0.020186        0.060965       
4               139.760000      11.236727       138.478842      0.020179        0.081144       
5               139.760000      14.056944       138.733991      0.020179        0.101323       
6               139.760000      16.879258       138.904496      0.020194        0.121517       
7               236.186000      21.657537       152.789010      0.020231        0.141748       
