#timestep       power           acc-energy      avg-power       dt              acc-time       
1               245.314000      4.952399        245.314000      0.020188        0.020188       
2               245.314000      9.943803        245.314000      0.020347        0.040535       
3               237.540000      14.739736       242.729281      0.020190        0.060725       
4               237.540000      19.537569       241.434061      0.020198        0.080923       
5               237.540000      24.334689       240.656350      0.020195        0.101118       
6               237.540000      29.123970       240.138277      0.020162        0.121280       
7               237.540000      33.927979       239.766927      0.020224        0.141504       
8               240.114000      38.775641       239.810263      0.020189        0.161693       
9               240.114000      43.623302       239.843978      0.020189        0.181882       
