#timestep       power           acc-energy      avg-power       dt              acc-time       
1               239.128000      4.826799        239.128000      0.020185        0.020185       
2               239.128000      9.709314        239.128000      0.020418        0.040603       
3               239.128000      14.571982       239.128000      0.020335        0.060938       
4               239.128000      19.427476       239.128000      0.020305        0.081243       
5               239.128000      24.283209       239.128000      0.020306        0.101549       
6               239.128000      29.138703       239.128000      0.020305        0.121854       
7               241.372000      34.043865       239.448747      0.020322        0.142176       
8               241.372000      38.953372       239.689456      0.020340        0.162516       
9               241.372000      43.861188       239.876556      0.020333        0.182849       
