#timestep       power           acc-energy      avg-power       dt              acc-time       
1               94.703000       1.911391        94.703000       0.020183        0.020183       
2               93.580000       3.830155        94.137070       0.020504        0.040687       
3               93.580000       5.736754        93.951195       0.020374        0.061061       
4               93.580000       7.636896        93.858562       0.020305        0.081366       
5               93.580000       9.539284        93.802877       0.020329        0.101695       
6               93.580000       11.441204       93.765754       0.020324        0.122019       
7               91.579000       13.301081       93.453723       0.020309        0.142328       
8               91.579000       15.165630       93.219106       0.020360        0.162688       
9               91.579000       17.032101       93.036513       0.020381        0.183069       
