#timestep       power           acc-energy      avg-power       dt              acc-time       
1               90.305000       1.814227        90.305000       0.020090        0.020090       
2               90.305000       3.666383        90.305000       0.020510        0.040600       
3               100.198000      5.707216        93.610023       0.020368        0.060968       
4               100.198000      7.728410        95.247842       0.020172        0.081140       
5               100.198000      9.760125        96.237561       0.020277        0.101417       
