#timestep       power           acc-energy      avg-power       dt              acc-time       
1               231.662000      4.649920        231.662000      0.020072        0.020072       
2               231.662000      9.366095        231.662000      0.020358        0.040430       
3               231.662000      14.069760       231.662000      0.020304        0.060734       
4               231.662000      18.780375       231.662000      0.020334        0.081068       
5               231.662000      23.483809       231.662000      0.020303        0.101371       
6               244.490000      28.453312       233.804550      0.020326        0.121697       
7               244.490000      33.440419       235.338466      0.020398        0.142095       
