#timestep       power           acc-energy      avg-power       dt              acc-time       
1               288.029000      5.813001        288.029000      0.020182        0.020182       
2               288.029000      11.730845       288.029000      0.020546        0.040728       
3               288.029000      17.578986       288.029000      0.020304        0.061032       
4               288.029000      23.432023       288.029000      0.020321        0.081353       
5               281.609000      29.149531       286.746781      0.020303        0.101656       
6               281.609000      34.876895       285.890245      0.020338        0.121994       
